step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
25000,9,1.709048,0.392756,0.196127,0.055942,4.5739,96.92
25000,10,2.096166,0.597634,0.309206,0.105737,4.5739,96.92
25000,11,2.52897,0.819541,0.582286,0.231114,4.5739,96.92
26000,0,1.01436,0.14371,0.001551,0.000787,4.5159,91.46
26000,1,1.340745,0.272995,0.017769,0.008139,4.5159,91.46
26000,2,1.42131,0.312548,0.035183,0.014015,4.5159,91.46
26000,3,1.463425,0.196274,0.029849,0.014709,4.5159,91.46
26000,4,1.41545,0.167493,0.02429,0.013015,4.5159,91.46
26000,5,1.338779,0.230348,0.06408,0.04317,4.5159,91.46
26000,6,1.438782,0.430393,0.062833,0.06395,4.5159,91.46
26000,7,1.342549,0.370271,0.08088,0.062956,4.5159,91.46
26000,8,1.6286,0.447787,0.173417,0.057917,4.5159,91.46
26000,9,1.715923,0.398759,0.214222,0.060217,4.5159,91.46
26000,10,2.079202,0.589057,0.290045,0.099406,4.5159,91.46
26000,11,2.493141,0.792669,0.547961,0.213305,4.5159,91.46
27000,0,1.020275,0.14802,0.001758,0.000919,4.5418,93.86
27000,1,1.351938,0.276805,0.018522,0.00796,4.5418,93.86
27000,2,1.401243,0.318318,0.038561,0.015821,4.5418,93.86
27000,3,1.459626,0.198429,0.032981,0.015874,4.5418,93.86
27000,4,1.419837,0.168784,0.024739,0.013142,4.5418,93.86
27000,5,1.347362,0.227479,0.060461,0.040368,4.5418,93.86
27000,6,1.399746,0.398968,0.059972,0.059742,4.5418,93.86
27000,7,1.352061,0.367673,0.077278,0.059971,4.5418,93.86
27000,8,1.638059,0.444553,0.164455,0.055154,4.5418,93.86
27000,9,1.8067,0.44058,0.207826,0.058807,4.5418,93.86
27000,10,2.05853,0.579105,0.311187,0.107637,4.5418,93.86
27000,11,2.597342,0.848886,0.526303,0.203708,4.5418,93.86
28000,0,1.022482,0.152211,0.001889,0.001017,4.5177,91.62
28000,1,1.34966,0.277124,0.01729,0.007694,4.5177,91.62
28000,2,1.426028,0.327875,0.03838,0.015928,4.5177,91.62
28000,3,1.481217,0.196206,0.030348,0.014558,4.5177,91.62
28000,4,1.426343,0.16977,0.026516,0.013317,4.5177,91.62
28000,5,1.338667,0.221315,0.057592,0.038356,4.5177,91.62
28000,6,1.413856,0.398674,0.05693,0.056931,4.5177,91.62
28000,7,1.276402,0.322075,0.072512,0.054911,4.5177,91.62
28000,8,1.50173,0.383166,0.141695,0.052248,4.5177,91.62
28000,9,1.673489,0.387257,0.195831,0.056039,4.5177,91.62
